review,sentiment
look know may suck right pain temporary film forever whatever right burned celluloid time thousand year come robert de nirothis initially film steven spielberg director hiring several screenwriter adjust screenplay suited theme dysfunctional family threatened deranged monster form recently released prison robert de niro like jurassic park poltergeist war world dysfunctional family band together defeat beast beast creation father lawyer failed defend de niro trial typical spielberg fashion father kill monster undermines family promptly absolved sin like oscar schindler robin williams sam niel tom cruise virtually every daddy figure spielberg land father reclaims paternal duty kind bittersweet coda spielberg enjoys spielberg eventually abandoned picture project instead turned martin scorsese time seeking try hand commercial fare result arguably worst film scorsese filmography ironically illuminating artist failure misfire often revealing exposing inner working art story work character connect image sear find left kind inner core remaining carcass director cinema cape fear impersonal film find thematic connection rest scorsese filmography already sacrificed de niro yell film theme catholic redemption cookie cutter film though expose kind language filmography hinge watch scorsese camera desperately whip back forth zoom frantically onto doorknob window attempt force tension character loud screaming attention importantly watch film make spatial sense showdown boat end film take place obvious sound stage street parade claustrophobic take place within larger context family house seem exist anywhere particular simply geographical sense anything picture scorsese unable film space create kind spatial environment reason scorsese camera always bound intimately tethered central character world around character make sense camera focused character resnais take around french hotel welles hitchcock dance street building cameron give tour titanic scott recreate entire future cityscape lucas give alien desert planet director create sense space textbook close mid shot wide shot combination scorsese poetry sense tangible space film character break tether leave boxing ring taxi cab look away de niro everything collapse simply cannot break away documentarian style shooting way prerequisite action film making scorsese tried rectify problem gang new york space set become central character even self consciously spatial experiment get sabotaged magnetism daniel day lewis actor drawing scorsese camera inexorably toward like moth bulb even generic b movie ugly vulgar looking film look matte painting inept attempt tension silly rotorscoped special effect hokey fistfight showdown still robert de niro pick slack de niro give body scorsese like tattooed christ give film great scene improvised romantic sequence young juliette lewis stick thumb mouth kiss kind symbolic rape girl run away aroused repelled man interest de niro performance deliciously top simply imitated scorsese need operatic tone baroque visuals someone like de palma make work scorsese nope worth one viewing,0
mild spoiler contained herein spoiling film save trouble watch jet li movie fall one two category shaolin period movie movie set modern day hong kong revolving around triad triad like organization genre best worst film twin warrior jet li best shaolin era flick evil cult worst fist legend recent past best modern era jet li movie black mask without doubt worst jet li play self exiled mercenary received injection give superhuman ability shortens life span new life exile play pacifist librarian old mercenary squad go rampage jet li becomes vigilante determined stop don silly corrugated cardboard mask conceal identity police public librarian well conceal true identity ex comrade arm version saw dubbed horribly jet li capture hold hostage library co worker pacifist love story police chief care learns black mask true identity plot plain bad bad way superhero cheesiness bad sense character never properly developed bad character interaction topped half explained story quickly lost interest action martial art sequence way top lot blood gore severed body part aplenty explosion matrix style superhuman martial art fiasco present film unfortunately film best selling point want see jet li playing vigilante superhero mission impossible style movie black mask delivers rest u jet li fan true disappointment one movie jet li never get jet li get neither chance charm u charisma chance impress u impressive yet realistic martial art ability normally chinese knockoff ozzy osbourne would enough engross film sadly black mask proved exception rule indeed antagonist movie way dress long straight hair trademark round sunglass look like modern aged ozzy osbourne however villain screen long enough make gimmick worthwhile assuming likeness ozzy intentional addition villain look also ran satanic looking hideout much could made ozzy osbourne villain gimmick writer director anyone bothered give background develop character film arch villain black mask first jet li film released video usa lethal weapon glad stayed away may well ruined whole perception jet li martial artist actor want see jet li worst rent black mask evil cult make double feature horror intentional unintentional otherwise stick move utilize talent jet li plot semi well thought plausible star,0
go open air cinema greek summer night usually care movie edison started really good good effort singer want actor great morgan freeman movie usually good start catch audience done bit boring yet story filling middle movie character less action done third part something really good remember movie see elite police officer packed weapon demolish building shoot guy behind car fail hit even kill guy take flame thrower kill rest realise greek summer sky filled star way good distracted movie like,0
particularly moved understated courage integrity l anglaise beautifully acted intellectually visually compelling film thank much monsieur le directeur rohmer,1
poor jane austen ought glad around see dreadful wreck adaptation many great jane austen movie come recently one deserves permanently buried along two movie despise man gray flannel suit version david copperfield main beef movie completely miss point book jane austen poking fun gothic mania society much novel tongue cheek movie however serious come across terribly melodramatically lighthearted fun poking flavor austen writing completely conspicuously absent ponderous foray iinto horror meet period drama scene catherine imagination gratuitous uninteresting also henry tilney dreadfully unappealing ask would anyone fall looking fun filled jane austen evening watch emma instead,0
bonnie clyde thelma louise fine road movie set two main character gently easily viewer learn underlying tension quickly tribute director young french english speaking son want well france french girlfriend drink alcohol party young men moroccan arabic french speaking father devoutly follows muslim faith generosity wisdom elder reject new culture surrounding like mobile phone film could explore powerful politics odd couple drive thru former yugoslavia thru turkey thru middle east get mecca area muslim population involved war repression ethnic cleansing dictator pursued torture summary execution hold power religious community constant deadly battle yet film move thru place possibility hint agenda relationship two key film faith politics backdrop seems saying human need understand care order manage well world certainly natural born killer better,1
stopped movie minute change know maybe swedish french cannes commenter sleepy place previous reviewer held forth born raised ny lived near san francisco quarter century holland love good independent film much next movie enthusiast word funny see funny thinking made mistake said word said funny nope mistake type humor say really much life consider appreciation film symptom please ever write another review tendency believe unanimous even review mine figured might actually able save someone else boredom anticipation laughter never materializes smile twice though started movie stopped line,0
read book based adaptation bother hated every character show miranda slutty selfish mumbled miserably appalling dialogue sister total wimp worst depiction manic depression ever seen degree psychology accurate fact mentioned realise troy supposed bipolar thought normal slightly grumpy teenager saving grace stupid show david tennant whose brilliantly psychotic performance thing got watch second half clearly writer producer show done research troy mental problem remotely accurate forensics involved twist ending spot mile big ole dummy utter garbage,0
quite good expect anything high culture acting bad storyline fails still fairly nice movie watch dark little bit stupid like unpredictable entertaining fun watch expect anything like said see know mean movie without plot memorable acting enough scene make laugh cry least make feel compelled watch end wanted say,1
principally story two men part portuguese revolution easy understand contest usually director start historical fact speak something else show also period fact everything happen couple day revolution act could also seen kind documentary movie focalize two people showing normal like common hero revolution come people although made military army title understand capitaes main character nice color light whole movie excellent work director first movie fall banal way well shown emotion passion people crowd character maia main one well made also good interpretation stefano accorsi able show maia limit hero,1
rarely make comment felt compelled spare others pain endured watching movie stupid implausible overall story detail simply suspend disbelief problem start early see government researcher tooling around new porsche dining team restaraunt look like castle overlooking capitol building washington c kind life government salary hah get worse toward end bad guy start killing good guy latter group act stupidly want die order cleanse gene pool special effect pretty good producer money buy lead actor great film screenplay direction moronic many people wondered whether deliberate intelligence behind paul verhoeven previous facially stupid movie showgirl starship trooper movie stop wondering plain bad,0
love war simple feel good tv film viewed possible spoiler story wwii british soldier newby captured commando italian imprisoned former orphanage italian surrender ally commando freed attempt flee however german arrive commando captured newby injured remains large rest film recount hidden protected partisan survival end spoiler based true story love war refreshingly straightforward film half comedy half romance story simple unambiguous atmosfera warm sunny various stereotype desperately unorganized romantic italian serious stern looking german phlegmatic pragmatic british although unoriginal still humorous nicola piovani musical score also add mediterranean flavour although far tea mussolini la vita e bella love war sweet simple film put smile maybe even little tan face,1
mickey rourke enjoying renaissance moment fair play always liked image acting ability fare angel heart johnny handsome know going get rourke mean moody dirty film give much want first foremost whole thing make sense rourke hardened ira killer killing bus load schoolchildren flees ireland london run cop army comrade also vowed never kill look like bus full kid finally however get london tracked local mobster bates looking like eyebrow hair came straight burton dummy kill main competitor turn boat trip u rourke reluctantly agrees seen priest hoskins confesses crime confessional order keep priest mouth shut figure better killing wealth thing arise add pick rourke competition illustrated scene whereby employee pinned wall couple heavy look like awl london guy tough enough anyway killing mobster get guy follow rourke witness killing eye guy simply kill competitor save hassle dealing rourke hoskins see murder take place police let go without protection may add take confession way rourke hang around church right next carried murder immediately crime take place go confession cop checking place rourke hang around church hoskin blind niece particular day afterwards without anybody bothering run stay put place committed another murder stupid cop actually meet rourke church fixing organ idea know run school bus bombing even check get rourke kill tell wait around day get boat think want get rid immediately kill one bates brother suddenly decide rape blind niece midst waiting could restrain day least rourke safely offed state ridiculous rourke suddenly inner turmoil year killing win blind niece immediately even know killer still love utterly ludicrous besides fall love record time day whole bomb thing end plain silly bates point view thing happen part film make sense simply help storyline say jest along bates house rourke whorehouse boat ready sail rourke suddenly display moral high ground respect whore house yet bed blind girl rourke asks henchman boat bates henchman practically spurt entire movement bos less second embarrassing guy telling rourke far even asked hoskin priest ex army guy see beat three henchman behind pub totally uncalled yet another cringe worthy scene gonna stop unlucky without mentioning rourke hair falsely red laughable accent fair bad sometimes deteriorates barely heard mumble time clothes walk look heaven etc mention music choppy editing style oooppps mentioned overall disaster film obvious religious imagery thrown rourke cross preaching pulpit would embarrass first year film student never mind top star director,0
romantic comedy bad funny thing happening rather memorable character acting however amateurish exception banker scene great fun others simply embarrassing particular found romantic part story poor guess worth seeing like football romantic comedy really bad movie ending feel quite good expect anything ordinary fair enough hour quarter kill,0
great character great acting great dialogue incredible plot twist plain language one best show ever seen life favor watch show regret show writes book sci fi,1
way lamberto bava substandard facsimilie father mario extremely overrated director anyway michele soavi substandard director dario argento mold church least one thing recommend incredibly detailed art direction absolutely nothing else film long winded filled one dimensional character almost put sleep several time fine line art pretentious crap church completely worthless better watching something else,0
bled apt title watch feel life bled cliché horror people exactly going basement going attic trouble ensues take heed watch film show brain victim horror movie never stay clear enter need anymore incentive film bad worst uwe boll film mean house dead bad often thought entering review film b watching based comment herein discovered guess everyone entiled opinion please trust mine,0
rap book movie based one difficult book ever read yet could put raunchy crude foul lewd name also best characterization novel ever read well flick deplorable mean tim mcintire wasco wasco baddest mutha talking bout wasco mcintire wasco like casting tim conway charles manson happened main character book little arv even exist movie fast walking main dude book even name credit thing rap none spirit atmosphere nastiness drama book captured movie disappointment total waste time celluloid,0
normally glutton poor movie thing stunk watch movie terrible effect little humour hell point making movie gore speak acting speak could manage minute rat dropping movie rare something positive say drivel cover art ok pretty sure movie ending even tho make rat unorganized blew line constantly lacked intensity seemed going pace paycheque actor worse,0
steve irwin admire man willing throw river clearly filled crocs snake lizard ton poop aforementioned reptile mud daily enthusiasm never able make want managed make wife come close movie fall parallel universe film category film people teeth drilled migraine film experience therefore like quiet mediocrity currently well populated disney film noisy well steve noisy happy time would cut right blasé teenager hear movie stupid tylenol codeine say enthusiasm catching would room full snake happened yet agreed beauty still going pet plot indeed predictable bad guy bad minute thought shopping consumer electronic superstore movie filled animal steve terri watched plot could call really reason throw yet another croc truck expectation low stayed way hoping though would bit sequel steve terri worked acting skill movie real plot animal fur still believe see steve anymore hope terri child continue involved australia zoo discovery channel least imagine seeing crocodile without member irwin family telling forcefully wonderful croc crikey,0
movie club school forced sit watch utterly dismal film film story dismal entire movie exceedingly dismal acting absolutely dreadful child overly whiny metal pole could done better job wanted desperately fall asleep television loud kept peace monkey neither cute funny drama laugh worthy cannot remember saw dreadful film story weak thin predictable completely fake adult try good actor seem break stereotype girl even appears want leave film via falling hill movie order leave blame micheal anderson publicly apologize film everyone else forced sit awful film fact apologize even nothing project apologize film mean least someone film even surpasses dismalness film rob schneider cheetah girl would even go far say even worse hilary duff collection film pushing please see film else pushed write review similar one awful film sorry,0
film excuse show people dancing good even dancing slow half entertaining mediocre dirty dancing let alone good dance movie love story musical drama comedy movie bit movie fails everything attempt film turn even meaningless film progress acting terrible side screenplay definitely trying tell u something relationship fails miserably watch moment patrick stewart enters scene think film might get better brightens dull atmosphere second,0
start guy indian pot cleaning suddenly skeletor attack hit woman neck axe fall get apparently uninjured run wood turn basement shopping center wood meet utility worker skeletor attack luckily like good utility worker got gun shoot guy work everything start fire cut people walking wood even though hiking together time sit introduce probably done first met anyhow undercover delta team member undercover suppose way pay dress uniform cute girl various thing sniper school instructor oh remember rest matter eventually take gun immediately start aiming various thing anyhow meet old indian sitting wood want bean know like pork bean mumble stuff assume premise movie relied heard premise commercial really understand anything say walk around wood dialogue load quasi military macho b mean every single word like reminds kabul reminds lao skeletor attack let give rundown basic attack one female character crouched behind tree aim gun approaching guy horse reason fire yell several time someone else skeletor approach jump behind tree skeletor stick spear everybody start shooting bullet cause spark fly tree apparently folk made movie never shot tree bullet make spark casper van diem sudden driving semi truck trying run skeletor miss truck slide stop van diem injured apparently slid across seat bumped hip window crank something crawl truck explodes later wood dying everybody say bunch quasi military macho b meet couple guy wood blow undercover status immediately identifying army beat guy reason go away stuff happens people mumble camera shake etc think come end eventually theory sci fi channel getting little annoyed everyone bashing movie put remind u bad movie really like think movie bad well seen bad bad okay got way rest movie pretty good comparison right well theory,0
seeing aristocats special edition two pack fox hound decided buy since film childhood favourite aristocats classic definitely might five star classic fun film make good evening entertainment somewhat light refreshment darker serious disney classic aristocats try light hearted musical comedy think succeeds storyline really make much sense think plot particularly strong certainly weak animation background bit scratchy place typical disney film rustic old fashioned charm aristocats strongest point character music humour music memorable try getting everybody want cat head hurry song written sherman brother also music jungle book one song called never felt alone going film sadly make final feature shame think would fit well character unforgettable thomas malley voiced phil harris basically baloo feline form eva gabor give duchess warm maternal feel kitten voice actually sound like child actor imitating voice child secondary character dozen yet still end understanding personality edgar villainous butler play similar role cruella de vil comical scary often ending funny situation even though bad guy still lovable two british goose abigail amelia really cracking along crazy drunk uncle also like dog tend argue leader could go spoil tell aristocats funny entertain everyone without resort rudimentary toilet humour bottom line aristocats might disney crowning achievement even strongest film award tie rescuer many adventure whinnie pooh enjoyable romp sure entertain looking dazzling work art might better watching bambi want fun night aristocats way go charming lovable film impossible dislike enjoy besides good film cat seen villain,1
went looking movie read tom clancy red storm rising novel timeless masterpiece th century russian invaded german movie made order joseph stalin warn soviet hitler germany battle scene wonderfully done showing need computer animation make great fight scene probably sergei eisenstein greatest work also see battleship potemkin history buff poli sci major watch movie,1
hard believe directed fritz lang since mostly directed crime drama mystery movie cast includes robert young randolph scott dean jagger john carradine scott play outlaw try go straight leave old gang wind saving jagger life jagger work western union telegraph company plan telegraph west jagger hire lot men make sure done worry indian attack bandit scott charge men young telegraph expert shoot gun ride scott meet old gang want stop scott tell anyone pretty good western lang directed western,1
sarafina fun movie song really great sarafina entertaining normally like music thing like singing lame like looked like box movie useful learning history interesting perspective soweto rioting showed thing perspective student rioting showed real character got see real character make like audience make sympathetic totally victim white government sympathise singing student correct know account student riot singing dancing became violent clothing student sarafina similar clothing shown photo soweto made movie actually soweto look accurate many part thing make film accurate someone using learn aparthied viewer must critical way history apartheid presented said become sympathetic student make potentially less reliable objective also change detail account sarafina turn chaos policeman come classroom shoot student police army aggressive soweto probably exaggerated event police army shoot student evidence going school executing people like fighting street looting crime done movie probably make feel sorry school student movie would useful different information aparthied teacher arrested government mum go work white person house information government detail racist policy law george chris finlay,1
caligula share many attribute fellini satyricon bizarre sight freakishness depiction sexual excess set glory ancient rome fellini first entertaining far much screen time devoted bug eyed rubber faced mcdowell titular role performance far fey campy convincing portrayal jay robinson robe david cain haughton emperor caligula far persuasive believable latter nuanced relief could judiciously provided developing surrounding character fully little cypher one example role macro played guido mannari tremendous screen presence important role mostly left background positive feature credit adroit use prokofiev stravinsky theme music score inclusion distasteful nevertheless accurate action despot two factor far less needed relieve prevailing tedium however,0
tend get furious hearing lucio fulci reputation director often categorized talented filmmaker shock disgust entire audience image pure gore true film contain explicit filth sickness average mainstream american production film always wide range plot gruesomely morbid torture duckling yet another story film pure gem italian shock cinema easily dare call film masterpiece old fashioned giallo includes brilliant aspect genuine horror film show search inhuman serial murderer small italian mountain town body young boy found horribly mutilated quite lot pseudo madman town every trail lead nowhere among suspect greedy bum scary woman obsessed witchery voodoo like true mastermind fulci know find right creepy tone film portrays small town claustrophobic inescapable setting macabre happening supported giddy soundtrack fulci also develops genius storyteller script always one step ahead complex plot mislead word unique giallo horror slash murder mystery gore presented grotesque explicit lucio later milestone among legendary zombie beyond new york ripper although still nauseating hard watch shock sequence shown torture duckling compelling effective achievement lucio fulci ever brought forward easily rank among greatest italian horror movie ever made right next masterpiece made mario bava dario argento film fascinating start finish plot aspect alarmingly realistic tension adrenalin rushing time must see horror fan absolute priority italian shock lover,1
foot long giant mutant squid five tentacle razor fang ability reproduce cell terrorizes small florida town various marine biologist doctor cop plot kill meanwhile human monster named miller offs people discover devilfish manmade creation used greedy benefit evil doctor miller attack female researcher strangles drowns bathtub toss hairdryer rip panty dead body lot false alarm set hero peter stella janet bob set high tech high tech anyway seaquarium boat catch creature frequently seen close hilariously obvious speeded film seem menacing fire destroy lead flamethrower armed posse v aquatic beast finale jaw cash pretty tame legless corpse decapitation watchable benefit excellent antony barrymore score decent monster design luigi cozzi sergio martino wrote original story score,0
think one true thing one meryl streep finest movie date depiction dying woman perfect recently lived movie touched level could imagined meryl truely greatest actress ever walked earth,1
brian keith cole wlikerson richard jaeckel wade matlock make excellent villain love intimidating local brutal way possible sneer sexily suggestion might humane way achieve end pity goody goody glenn ford get way,1
nothing really unpredictable movie solid flick respect everything acting cinematography solid perfectly linear plot line anything see coming perhaps tad melodramatic point fairly decent movie none less definitely worth checking doubt film rent weekend give go though may feel like running buying found quite worth,1
one horror movie based tv show get right friday th series connection movie poltergeist legacy sure may loosely connected movie feel like throw famous title show fan watch show freddy burned elm street parent st episode believe amount parent disappointing kid targeted st movie expect parent oh well freddy basically narrator show watch action people real world sometimes getting involved somehow like anthology show like tale crypt supernatural surprise ending twist involved acting lack believe violence sometimes surpasses movie show lasted couple season made around time th movie heard canceled due protesting parent watched lot r rated stuff kid shame parent ruin everyone movie came series total loss,1
show great episode one terrible episode hard follow man death house dig cat real gone episode couple married peggy ammanda plummer charles stephen shellen first five minute find charles married peggy money two go honeymoon car break dirt road seek refuge old abandon mansion charles soon find secret peggy family opinion watch episode expect feeling rest episode first season,0
